sent_id,sentence,entities
357,"April 12 : Death of Franklin D. Roosevelt ; Vice President Harry Truman assumes office as President of the United States.
April –",['the United States']
358,"May : Battle of Berlin .
",['Berlin']
359,"April 28 : Execution of Benito Mussolini .
April 30 : The Suicide of Adolf Hitler in Berlin as Nazi Germany collapses.
","['Nazi Germany', 'Berlin']"
360,May : End of World War II in Europe .,['Europe']
361,"The Holocaust ends after ~12 million deaths, including 6 million Jews.
",['Jews']
362,"End of World War II in Europe .
",['Europe']
363,"The Holocaust ends after ~12 million deaths, including 6 million Jews.
June 26 : United Nations founded ( UN Charter ).
",['Jews']
364,"July 26 : Clement Attlee becomes Prime Minister of the United Kingdom.
",['the United Kingdom']
365,"July – August : The Potsdam Conference divides Europe into Western and Soviet blocs.
","['Soviet', 'Western', 'Europe']"
366,"August 6 – 9 : Harry S. Truman orders the atomic bombings of Hiroshima and Nagasaki .
","['Nagasaki', 'Hiroshima']"
367,"August 15 : Victory over Japan Day .
",['Japan']
368,"August 17 : Independence of Indonesia proclaimed beginning the Indonesian National Revolution .
",['Indonesia']
369,September 2 : End of World War II in Asia with the beginning of the Surrender of Japan .,['Asia']
371,"End of World War II in Asia with the beginning of the Surrender of Japan .
",['Asia']
373,"October 8 : The microwave cooking oven is patented, with one of the first prototypes placed at a Boston restaurant for testing.
October 29 : In Brazil, Getúlio Vargas is deposed in a coup.
","['Brazil', 'Boston']"
374,"1946
January : Chinese Civil War resumes between Communist and Nationalist forces.
","['Communist', 'Nationalist']"
375,"March 22 : Independence of Jordan .
",['Jordan']
376,"March 30 : Greek Civil War begins.
June 2 : Italy becomes a republic .
June 9 : Bhumibol Adulyadej becomes King of Thailand .
","['Italy', 'Thailand']"
377,"July 4 : The Treaty of Manila declares the Philippines independent.
",['Philippines']
378,"August 16 : Mustafa Barzani founds the Kurdistan Democratic Party .
September 30 – October 1 : Nuremberg trials end.
",['Nuremberg']
379,"October 27 : French Fourth Republic established.
",['Fourth Republic']
381,"First images of the Earth taken from space.
",['Earth']
382,"1947
March 12 : Harry Truman establishes the Truman Doctrine of containment of Communism.
",['Communism']
383,"April 15 : Jackie Robinson becomes the first African American baseball player to play modern Major League Baseball .
",['African American']
386,"Independence of India and Pakistan and beginning of First Indo-Pakistani War .
","['Pakistan', 'India']"
390,"Hyundai Group founded by Chung Ju-yung in Seoul, South Korea.
","['South Korea', 'Seoul']"
392,"February 4 : Independence of Burma and Ceylon ( Sri Lanka ) from Britain.
April 3 : The Marshall Plan , an American initiative for foreign aid of $13 billion to 16 Western European countries, comes into effect.
","['Sri Lanka', 'Britain', 'American', 'Western European']"
395,"The Soviet Sever-2 expedition become the first party to indisputably set foot on the North Pole .
","['Soviet', 'the North Pole']"
396,"May 14 : United Nations establishes Israeli Independence and the formation of the official State of Israel.
",['Israel']
397,"May 15 : The Arab–Israeli War begins.
",['Arab']
400,"September 24 : Honda founded in Hamamatsu , Japan by Soichiro Honda and Takeo Fujisawa .
","['Japan', 'Hamamatsu']"
402,"Beginning of apartheid in South Africa .
",['South Africa']
404,"January 5 – 8 : COMECON founded by USSR and the Eastern Bloc .
","['USSR', 'the Eastern Bloc']"
405,"March 10 : The Arab–Israeli War ends.
",['Arab']
409,"Creation of NATO-backed Federal Republic of Germany ( West Germany ).
","['Federal Republic of Germany', 'West Germany']"
410,"June 8 : George Orwell publishes Nineteen Eighty-Four .
June 14 : Albert II became the first mammal launched into space
October 1 : Chinese Communist Revolution : Establishment of the People's Republic of China under CCP Chairman Mao Zedong ; The Republic of China relocates to Taiwan .
","['Taiwan', 'The Republic of China']"
411,"October 7 : Creation of the socialist German Democratic Republic ( East Germany ).
","['German Democratic Republic', 'East Germany']"
413,"Soviet Union tests an atomic bomb .
",['Soviet Union']
415,"February 15 : Release date of Disney's Cinderella .
June 25 : North Korean invasion of South Korea begins the Korean War .
June – September : The Bodo League Massacre of prisoners during the Korean War.
August – September : North Korean forces capture most of Korea, to the Pusan Perimeter .
","['Korea', 'South Korea', 'North Korean', 'the Pusan Perimeter']"
416,"August 25 : Bertie the Brain , one of the first computer games, is released.
September – November : UN forces reclaim Seoul and invade North Korea .
October :","['North Korea', 'Seoul']"
417,"Alan Turing publishes the Turing test , one of the most influential yet controversial concepts in artificial intelligence research.
",['Turing']
418,"November 17 : Lhamo Dondrub assumes full political powers as the 14th Dalai Lama of Tibet .
",['Tibet']
419,"December 30 : Peoples' World Convention (PWC) at Palais Electoral, Geneva , Switzerland
Communist victory in the Landing Operation on Hainan Island ( March – May ) and Wanshan Archipelago Campaign end the Chinese Civil War ( May – August ).
","['Communist', 'Switzerland', 'Geneva', 'Hainan Island']"
420,"1951
July 1 : Colombo Plan , a regional organisation of 27 countries designed to strengthen economic and social development of member countries in the Asia-Pacific region, commences.
",['Asia']
421,"September 8 : The Treaty of San Francisco ends the Occupation of Japan and formally concludes hostilities between Japan and the US.
September 18 : Release date of the acclaimed science fiction film The Day the Earth Stood Still .
October 26 : Winston Churchill becomes Prime Minister of the United Kingdom.
","['US', 'the United Kingdom', 'Japan']"
423,"May : Bonn–Paris conventions end allied occupation of West Germany.
","['West Germany', 'Paris', 'Bonn']"
424,"May 2 : The first passenger jet flight route opens between London and Johannesburg.
","['London', 'Johannesburg']"
426,"July 23 : Egyptian Revolution under Gamal Abdel Nasser overthrows King Farouk and ends British occupation.
","['Egyptian', 'British']"
427,"July 26 : Death of Eva Perón .
November 1 : The United States successfully detonates the first hydrogen bomb , codenamed "" Ivy Mike "", at Eniwetok Atoll in the Marshall Islands in the central Pacific Ocean, with a yield of 10.4 megatons.
","['the Marshall Islands', 'The United States', 'Pacific Ocean']"
429,"The Mau Mau Uprising begins in Kenya .
",['Kenya']
430,"The Slansky Trial in Czechoslovakia.
",['Czechoslovakia']
431,"1953
January 20 : Dwight D. Eisenhower is inaugurated as President of the United States.
",['the United States']
434,"May 29 : First ascent of Mount Everest .
",['Mount Everest']
436,"June 16 – 17 : An East German Uprising leads to the arrest and execution of Lavrentiy Beria ; power struggle begins between Georgy Malenkov and Nikita Khrushchev .
",['An East German Uprising']
438,"August 19 : Mohammed Mossadeq deposed in Iran .
November 9 : Independence of Cambodia .
",['Iran']
440,"1954
April 12 : The song Rock Around the Clock , by Bill Haley and His Comets , brings rock and roll to the American mainstream.
","['American', 'Comets']"
441,"May 17 : The Supreme Court of the United States decides Brown v. Board of Education , ordering an end to racial segregation in public schools .
",['the United States']
444,"September 3 : First Taiwan Strait Crisis begins.
September 14 : The Soviet Union generates first electricity by nuclear power .
",['The Soviet Union']
445,"October 23 : The Western European Union is established.
November 1 : Algerian War begins.
November 3 : Godzilla is released in Japan .
",['Japan']
446,"Two Miami-based franchisees, David Edgerton and James McLamore, purchase the company ""Insta-Burger King"" and rename it "" Burger King "".
",['Miami']
448,"April 12 : The Salk polio vaccine having passed large-scale trials earlier in the United States, receives full approval by the Food and Drug Administration .
April 18 : Death of Albert Einstein .
April 18 – 24 : Bandung Conference .
",['the United States']
452,"After winning the power struggle that followed Stalin's death two years earlier, Nikita Khrushchev assumes control of the Soviet Union .
",['the Soviet Union']
454,"1956
January 1 : Independence of Sudan from Britain.
","['Britain', 'Sudan']"
455,"March 7 : The United States recognises Morocco 's independence from France
March 20 : Independence of Tunisia from France.
","['Tunisia', 'Morocco', 'France', 'The United States']"
456,"March 23 : Pakistan becomes a republic.
",['Pakistan']
457,"May 9 : The first Eurovision is held in Switzerland .
October 29 – November 7 : Nasser's nationalisation of the Suez Canal triggers the Suez crisis .
","['Switzerland', 'Suez', 'the Suez Canal']"
458,"November 11 : The Hungarian Uprising crushed by Soviet troops.
",['Soviet']
459,"Construction of Brasília , the new capital of Brazil to replace Rio de Janeiro , begins.
",['Brazil']
461,"Harold Macmillan becomes Prime Minister of the United Kingdom.
",['the United Kingdom']
462,"March 6 : Independence of Ghana from Britain.
","['Britain', 'Ghana']"
466,"November 3 : Laika becomes the first animal launched into Earth orbit.
",['Earth']
469,"Beginning of the Asian flu in China, leading to a worldwide pandemic that lasts until the following year.
","['China', 'Asian']"
471,"May : May 1958 crisis in France .
",['France']
472,"July 29 : NASA formed.
July – October : 1958 Lebanon crisis .
",['Lebanon']
475,"October 2 : Guinea gains independence from France .
",['France']
481,"Start of the Great Leap Forward in China.
",['China']
482,"1959
January 1 : Cuban Revolution ends.
",['Cuban']
483,"January 3 : Admission of Alaska , the 49th state, into the United States.
",['the United States']
484,"March 9 : Mattel 's Barbie doll debuts in the United States.
",['the United States']
486,"March 10 – 23 : Uprising in Tibet against China leads to the exile of the Dalai Lama .
","['Tibet', 'China', 'the Dalai Lama']"
487,"August 21 : Admission of Hawaii , the 50th state, into the United States.
",['the United States']
488,"October 7 : The USSR probe Luna 3 sends back the first ever photos of the far side of the Moon .
November 1 : Beginning of the Vietnam War , which lasts until 1975.
",['USSR']
491,"Great Chinese Famine begins in China .
",['China']
494,"1960s
1960
January 22 : First crewed descent to the deepest point on Earth, the Mariana Trench .
",['Earth']
495,"March 21 : The Sharpeville Massacre , in which the police opened fire against a protesting crowd at a police station in the South African township of Sharpeville in Transvaal, resulting in 69 deaths and 180 injuries.
","['South African', 'Sharpeville', 'Transvaal']"
496,"April 21 : Construction of Brasília , Brazil's new capital, finished.
",['Brazil']
497,"May 1 : 1960 U-2 incident sparks deterioration in relations between superpowers.
",['U-2']
501,"May 22 : An earthquake in Valdivia, Chile of magnitude 9.4 to 9.6, the highest ever recorded, causes 1,000 to 6,000 deaths.
","['Valdivia', 'Chile']"
503,"September 18 – 25 : The first edition of the Summer Paralympic Games is hosted in Rome.
",['Rome']
504,"October 12 : Inejiro Asanuma , a Japanese socialist politician, is assassinated during a broadcast on TV.
November 8 : The 1960 United States presidential election marks the first televised debates between presidential candidates.
","['Japanese', 'United States']"
506,"Year of Africa : Independence of 17 African nations.
",['African']
507,"Khrushchev withdraws Soviet cooperation with China, initiating the Sino-Soviet split .
","['Soviet', 'Khrushchev', 'China', 'Sino-Soviet']"
509,"The Beatles form in Liverpool .
","['Liverpool', 'Beatles']"
511,"January 20 : John F. Kennedy is inaugurated as President of the United States.
",['the United States']
512,"April 12 : Yuri Gagarin , flying the Vostok 1 spacecraft as part of the Vostok program , becomes the first human in space .
",['Vostok']
513,"April 17 – 20 : Bay of Pigs Invasion by Cuban exiles ends in failure.
",['Cuban']
514,"May 25 : In an address to Congress , John F. Kennedy declares the United States' objective of ""landing a man on the Moon and returning him safely to the Earth"" by the end of the decade.","['Earth', ""the United States'""]"
518,"The Great Leap Forward ends in China after the deaths of roughly 20–45 million people.
",['China']
520,"1962
March 19 : The Algerian War ends with the independence of Algeria .
",['Algeria']
521,"July 2 : Walmart founded in Rogers, Arkansas , by Sam Walton .
","['Rogers', 'Arkansas']"
522,"September 26 : A coup ends the Mutawakkilite Kingdom of Yemen , establishing the Yemen Arab Republic and starting the North Yemen Civil War .
","['the Mutawakkilite Kingdom of Yemen', 'the Yemen Arab Republic']"
524,"October – November : The Sino-Indian War , caused by a border dispute in Aksai Chin , ends with a Chinese victory.
",['Chinese']
525,"1963
January 1 : Premiere of the Astro Boy anime, the first to be broadcast overseas.
",['Astro']
526,"January 20 : Indonesia–Malaysia confrontation begins.
March – April :","['Indonesia', 'Malaysia']"
527,"Birmingham campaign , a key event in the 1954-1968 Civil rights movement
March 22 : The Beatles ' first record, "" Please Please Me "", and the beginnings of the British Invasion .
",['the British Invasion']
528,"May 8 : Beginning of the Buddhist crisis in South Vietnam during the Vietnam War .
","['Buddhist', 'South Vietnam']"
530,"August 28 : Martin Luther King Jr. delivers "" I Have a Dream "" speech at the March on Washington for Jobs and Freedom .
November 2 : 1963 South Vietnamese coup : Arrest and assassination of Ngo Dinh Diem , the South Vietnamese President.
","['Washington', 'South Vietnamese']"
532,"Vice President Lyndon B. Johnson assumes office as President of the United States.
",['the United States']
533,"December 10 – 12 : Independence of Kenya and Zanzibar and creation of Malaysia .
","['Zanzibar', 'Kenya', 'Malaysia']"
534,"1964
January 12 : Zanzibar Revolution overthrows Afro Shiraz ruling class; Zanzibar merges with Tanganyika to form Tanzania .
","['Tanzania', 'Tanganyika']"
535,"March 31 – April 1 : A coup d'état establishes a military dictatorship in Brazil .
",['Brazil']
537,"May 27 : Colombian armed conflict begins.
July 2 : Civil Rights Act abolishes segregation in the USA.
July 4 : Rhodesian Bush War begins.
July 6 : Independence of Malawi .
","['USA', 'Colombian']"
538,"August 2 : The Gulf of Tonkin incident led to the escalation of U.S. military involvement in the Vietnam War .
September 21 : Independence of Malta .
October 14 :",['U.S.']
539,"Leonid Brezhnev ousts Khrushchev and assumes power in the Soviet Union.
October 16 : China detonates its first nuclear weapon .
","['the Soviet Union', 'China']"
540,"November 28 : NASA launches the Mariner 4 space probe from Cape Kennedy toward Mars to take television pictures of that planet in July 1965.
","['Mars', 'Cape Kennedy']"
545,"Forces loyal to former president Juan Bosch overthrow current leader Donald Reid Cabral .
April 26 : Establishment of Rede Globo , now the largest TV network in Brazil and Latin America and the second-largest in the world after ABC .
","['Brazil', 'Latin America']"
546,"May 18 : Israeli spy Eli Cohen is hanged in Damascus .
","['Israeli', 'Damascus']"
547,"August 9 : Singapore gains independence.
",['Singapore']
548,"August 30 : Bob Dylan releases Highway 61 Revisited .
August – September : Second Indo-Pakistani War .
September 30 : 30 September Movement in the Indonesia .
",['Indonesia']
549,"November 24 – 25 : Congo Crisis ends; Joseph Mobutu becomes dictator of the Congo.
December 8 : Second Vatican Council is closed by Pope Paul VI.
",['Congo']
550,"Beginning of the anti-Communist purge in Indonesia , which killed up to 500,000 people.
","['anti-Communist', 'Indonesia']"
552,"China's Cultural Revolution begins.
",['China']
554,"China's Cultural Revolution begins.
",['China']
555,"August 11 : The Indonesia–Malaysia confrontation ends.
","['Indonesia', 'Malaysia']"
558,"October 21 : The Aberfan disaster , the catastrophic collapse of a colliery spoil tip (pile of waste coal mining material) in Aberfan, Wales results in 144 deaths.
","['Wales', 'Aberfan']"
561,"Joseph Weizenbaum , a German computer scientist at MIT , completes ELIZA , the first chatbot .
",['German']
562,"1967
April 21 : Greek military coup establishes a military dictatorship led by Georgios Papadopoulos.",['Greek']
564,"June 5 – 10 : The Six-Day War , a conflict between Israel and Arab states that resulted in Israel occupying the Gaza Strip, the Sinal Peninsula, the West Bank and the Golan Heights.
","['the Gaza Strip', 'Israel', 'the West Bank', 'the Sinal Peninsula', 'Arab', 'the Golan Heights']"
565,"July 6 : Attempted secession of the Republic of Biafra from Nigeria triggers the Nigerian Civil War .
","['Nigeria', 'the Republic of Biafra']"
566,"July 17 : Death of John Coltrane , American jazz saxophonist, clarinettist and composer.
",['American']
570,"October 21 : The March on the Pentagon becomes a major event in public opposition to the Vietnam War
December 17 : Australian Prime Minister Harold Holt disappears while swimming at Cheviot Beach , Victoria .
","['Australian', 'Victoria', 'Cheviot Beach']"
571,"First high-speed rail introduced in Tokyo.
",['Tokyo']
572,"Mid-year: Summer of Love , in which as many as 100,000 people, mostly young people sporting hippie fashions of dress and behavior, converged in San Francisco's neighborhood of Haight-Ashbury .
","[""San Francisco's""]"
573,"1968
January – March : Protests erupt in the United States, Europe and Latin America .
","['Latin America', 'Protests', 'the United States', 'Europe']"
574,"January – August : Prague Spring in Czechoslovakia crushed by the Eastern Bloc military intervention .
","['Czechoslovakia', 'Prague', 'Eastern Bloc']"
576,"The Tet Offensive occurs in South Vietnam .
",['South Vietnam']
578,"My Lai massacre , a mass murder and rape of unarmed South Vietnamese civilians by U.S. troops in the Vietnam War .
","['U.S.', 'South Vietnamese']"
579,"March 21 : Battle of Karameh in Jordan (part of the War of Attrition between Israel and Arab states).
","['Jordan', 'Israel', 'Arab']"
580,"April 4 : Assassination of Martin Luther King Jr.
June 5 : Assassination of Robert F. Kennedy
August 23 : 1968 Democratic National Convention protests ("" The whole world is watching "")
August 27 : First World Constituent Assembly , took place in Interlaken , Switzerland and Wolfach , Germany
September 6 : Swaziland gains independence from Great Britain
September – Zond 5 travels to the Moon with the first lifeforms to reach Earth's satellite
December – Apollo 8 orbits the Moon with three NASA astronauts, becoming the first human spaceflight mission to enter the gravitational influence of another celestial body.
","['Switzerland', 'Wolfach', 'Great Britain', 'Interlaken', 'Germany', 'Earth']"
581,"Another new strain of a flu in Hong Kong spreads again.
",['Hong Kong']
582,"The Troubles begin in Northern Ireland .
",['Northern Ireland']
583,"The Years of Lead , a period of social turmoil, political violence, and upheaval in Italy , begin.
",['Italy']
584,"Palestinian insurgency in South Lebanon begins.
","['Palestinian', 'South Lebanon']"
585,"1969
January 13 : Samsung Electronics founded in Suwon , South Korea.
","['Suwon', 'South Korea']"
586,"January 20 : Richard Nixon is inaugurated as President of the United States.
",['the United States']
588,"March – September : Sino-Soviet border conflict .
",['Sino-Soviet']
589,"April 28 : Charles de Gaulle resigns as President of France after a referendum on political reform is voted down.
June 28 – July 3 : The Stonewall riots in New York City instigate the gay rights movement.
July 20 : Apollo 11 Moon landing , in which Neil Armstrong and Buzz Aldrin become the first two humans on the Moon.
August 8 – 9 : The Manson Family Murders – Under Charles Manson 's orders, his followers, the ""Manson Family"" cult, enter the home of Hollywood actress Sharon Tate and murder her and four others.
","['Hollywood', 'France', 'New York City']"
591,"The Woodstock festival in Bethel, New York, attracts an audience of more than 400,000.
September 1 : Muammar Gaddafi overthrows King Idris of Libya in a coup d'état and establishes the Libyan Arab Republic .
October 29 : Creation of Advanced Research Projects Agency Network ( ARPANET ), the earliest incarnation of the Internet .
","['New York', 'Libya', 'the Libyan Arab Republic', 'Bethel']"
592,"November 10 : Sesame Street premieres its debut episode.
1970s
1970
January 15 : The Nigerian Civil War ends with the reintegration of the Republic of Biafra with Nigeria after ~3 million deaths.
","['Nigeria', 'the Republic of Biafra']"
596,"April 1 : U.S. President Richard M. Nixon signs Public Health Cigarette Smoking Act .
",['U.S.']
597,"April 10 : Break-up of the Beatles .
",['Beatles']
599,"July 12 : Thor Heyerdahl 's papyrus boat Ra II arrived in Barbados , bringing an end to its 3,200 mi (5,100 km) journey across the Atlantic Ocean.
September 6 : Black September in Jordan begins, lasting until mid-1971.
October – December : FLQ seizes hostages , causing Prime Minister Pierre Elliot Trudeau of Canada to issue the War Measures Act .
October 5 : The Public Broadcasting Service (PBS) began broadcasting as a successor to National Educational Television (NET) in the United States.
October 15 : Anwar Sadat becomes President of Egypt .
","['the Atlantic Ocean', 'Barbados', 'Egypt', 'the United States', 'Jordan', 'Canada']"
600,"November 3 – 13 : The Bhola Cyclone kills 500,000 people in East Pakistan .
",['East Pakistan']
602,"December 14 – 19 : 1970 Polish protests .
",['Polish']
606,"Idi Amin seizes power in Uganda .
",['Uganda']
607,"March 26 : Bangladesh Liberation War and Bangladesh genocide occur, independence of Bangladesh from Pakistan precipitates Third Indo-Pakistani War .
","['Pakistan', 'Bangladesh']"
609,"July 5 : The Twenty-sixth Amendment to the United States Constitution , formally certified by President Richard Nixon , lowers the voting age from 21 to 18.
July 17 : Black September in Jordan ends.
","['Jordan', 'the United States Constitution']"
610,"August 9 – 10 : Internment begins in Northern Ireland.
",['Northern Ireland']
611,"October 27 : Joseph Mobutu renames The Republic of the Congo Zaire .
",['The Republic of the Congo Zaire']
614,"Nixon shock removes gold back-up for the US Dollar triggering export of inflation from rich to poor nations.
",['US']
617,"1972
January : Sheikh Mujibur Rahman returns to Bangladesh from imprisonment in Pakistan.
","['Pakistan', 'Bangladesh']"
618,"January 30 : Northern Ireland 's Bloody Sunday .
","[""Northern Ireland 's""]"
619,"February 21 – 28 : U.S. President Richard M. Nixon makes an unprecedented 8-day visit to the People's Republic of China and meets with Mao Zedong .
","[""the People's Republic of China"", 'U.S.']"
621,"May 8 : The airplane serving Sabena Flight 571 from Brussels to Lod, Tel Aviv is hijacked by four members of the Black September Organization, a Palestinian terrorist group, resulting in 3 deaths and 3 injuries.
","['Palestinian', 'Brussels', 'Tel Aviv', 'Lod']"
622,"May 26 : Richard Nixon and Leonid Brezhnev sign the SALT I treaty in Moscow, as well as the Anti-Ballistic Missile Treaty and other agreements.
",['Moscow']
623,"May 30 : Lod Airport massacre .
September 5 – 6 : The Munich massacre , perpetrated by the Black September terrorist organization and aimed at the Israeli Olympic team, results in 17 total deaths.
",['Israeli']
626,"1973
January 1 : Denmark , Ireland and the United Kingdom joins the European Communities .
","['the United Kingdom', 'Denmark', 'Ireland']"
627,"January 22 : The Supreme Court of the United States decides Roe v. Wade .
",['the United States']
629,"Pink Floyd 's album The Dark Side of the Moon is released in the UK.
",['UK']
630,"May 3 : Construction of the Sears Tower (later renamed to Willis Tower) completed.
",['Willis Tower']
632,"September 11 : 1973 Chilean coup d'état .
October : 1973 oil crisis .
",['Chilean']
634,"December 3 : Pioneer 10 sends back the first close-up images of Jupiter .
",['Jupiter']
637,"The Terracotta Army of Qin Shi Huang is discovered at Xi'an , China.
","['China', ""Xi'an""]"
639,"The Terracotta Army of Qin Shi Huang is discovered at Xi'an , China.
April 25 : Carnation Revolution in Portugal begins transition to democracy.
July – August :","['China', 'Portugal', ""Xi'an""]"
640,"The Turkish invasion of Cyprus leads to the creation of the Northern Cyprus .
","['Turkish', 'the Northern Cyprus']"
641,"August 8 – 9 : Watergate scandal : Resignation of Richard Nixon ; Vice President Gerald Ford assumes office as President of the United States, the first person not elected as either President or Vice President to take the role.
",['the United States']
642,September 12 : Emperor Haile Selassie I of Ethiopia is overthrown in a military coup .,['Ethiopia']
644,"November 24 : Discovery of "" Lucy "" ( Australopithecus afarensis ) in Tanzania's Olduvai Gorge .
",['Tanzania']
645,"Dirty War begins in Argentina.
",['Argentina']
647,"1975
January : Altair 8800 , the first commercially successful personal computer, is released.
April 4 : Microsoft founded in Albuquerque, New Mexico , by Bill Gates and Paul Allen .
April 13 : Bus massacre in Lebanon triggers the Lebanese Civil War which lasts until 1990
April 17 :","['Lebanon', 'New Mexico', 'Albuquerque']"
649,"Cambodian genocide begins.
April 30 : The Fall of Saigon ends the Vietnam War .
June 25 : Prime Minister Indira Gandhi declares a state of emergency in India, suspending civil liberties and elections.
","['Cambodian', 'Saigon', 'India']"
650,"August 1 : The Helsinki Accords , which officially recognize Europe's national borders and respect for human rights, are signed in Finland.
","['Finland', 'Europe']"
651,"November 11 : Angola declares independence from Portugal and Angolan Civil War erupts.
",['Portugal']
653,"November 22 : Juan Carlos I becomes King of Spain .
",['Spain']
654,"December 7 : Indonesian invasion of East Timor begins.
","['Indonesian', 'East Timor']"
656,"1976
March 24 : 1976 Argentine coup d'état leads to a military dictatorship in Argentina.
April 1 : Steve Wozniak invents the Apple I and Steve Jobs then convinces Wozniak to sell the system, giving birth to Apple Computer .
","['Argentine', 'Argentina']"
657,"June 16 – 18 : Around 20,000 students took part in the Soweto uprising during Apartheid in South Africa.
July 4 : Operation Entebbe , a successful counter-terrorist hostage-rescue mission carried out by commandos of the Israel Defense Forces (IDF) at Entebbe Airport in Uganda.
September 9 : Death of Mao Zedong .","['South Africa', 'Soweto', 'Uganda']"
658,"Release of VHS (Video Home System) in Japan.
",['Japan']
660,"Release of VHS (Video Home System) in Japan.
October 6 : End of Cultural Revolution .
",['Japan']
662,"First outbreak of the Ebola virus in Zaire.
",['Zaire']
663,"1977
January 20 : Jimmy Carter is inaugurated as President of the United States.
",['the United States']
664,"February 9 : Queen Alia of Jordan is killed in helicopter crash.
",['Jordan']
665,"March 27 : The Tenerife disaster in the Canary Islands, with 583 fatalities, marks the deadliest accident in aviation history.
",['the Canary Islands']
668,"June 16 : Second World Constituent Assembly took place in Innsbruck , Austria
June 27 : Djibouti gains independence from France .
June 30 : Second World Constituent Assembly established a Provisional World Government
July 13 : Somalia declares war on Ethiopia setting off the Ethio-Somali War .
","['Djibouti', 'Innsbruck', 'Austria', 'Somalia', 'Ethiopia', 'France']"
671,"September 5 : German Autumn : Red Army Faction abduction of Hanns Martin Schleyer .
",['German']
672,"October 19 : Suicide of members of Baader-Meinhoff Group and murder of Hanns Martin Schleyer ends crisis in West Germany .
",['West Germany']
673,"October 26 : The last wild case of smallpox is eradicated by the WHO .
November 19 : Egyptian President Anwar Sadat becomes the first Arab leader to visit Israel in the hopes of establishing peace between the two countries.
","['Israel', 'Egyptian', 'Arab']"
675,"1978
February 5 – 7 : The Northeastern United States blizzard of 1978 hits the New England region and the New York metropolitan area , killing about 100, and causing over US$520 million in damage.
","['New York', 'New England', 'United States']"
676,"March 14 : 1978 South Lebanon conflict .
",['South Lebanon']
677,"April 27 : The War in Afghanistan begins with the Saur Revolution .
June 19 : Garfield 's first comic strip , originally published locally as Jon in 1976, goes into nationwide syndication .
June 22 : Discovery of Pluto 's moon Charon .
",['Afghanistan']
680,"September 17 : The Camp David Accords are signed between Israel and Egypt.
","['Egypt', 'Israel']"
681,"September 28 : John Paul I dies, his papacy being one of the shortest in history.
October 1 : Independence of Tuvalu from Britain.
October 9 : The Uganda–Tanzania War begins.
October 16 : John Paul II becomes pope.
","['Britain', 'Uganda']"
682,"November 18 : Jim Jones 's New religious movement , the Peoples Temple , ends in the organized mass killing and suicide of 920 people in Jonestown .
",['Jonestown']
683,"November 27 : San Francisco Mayor George Moscone and City Supervisor Harvey Milk are assassinated by former Supervisor Dan White .
",['San Francisco']
684,"December 18 : Deng Xiaoping commences the Chinese economic reform .
",['Chinese']
685,"December 25 : The Cambodian-Vietnamese War begins.
",['Cambodian']
686,"December 29 : The current Constitution of Spain comes into effect, which for some marks the completion of the Spanish transition to democracy .
","['Spain', 'Spanish']"
689,"1979
January 7 : The Vietnamese invasion of Kampuchea ends Cambodia's Khmer Rouge regime.
","['Cambodia', 'Vietnamese']"
690,"February – March : Sino-Vietnamese War .
",['Sino-Vietnamese']
694,"March 28 : The Three Mile Island nuclear accident , a partial meltdown of reactor number 2 of Three Mile Island Nuclear Generating Station (TMI-2) in Dauphin County, Pennsylvania, near Harrisburg, and subsequent radiation leak.
","['Dauphin County', 'Mile Island', 'Pennsylvania', 'Harrisburg']"
695,"May 4 : Margaret Thatcher becomes the first female Prime Minister of the United Kingdom.
",['the United Kingdom']
696,"June : Arrival of Pope John Paul II in Poland , eventually sparking the Solidarity movement .
",['Poland']
697,"June 3 : The Uganda–Tanzania War ends with defeat for Uganda and the exile of Idi Amin .
June 11 : Death of John Wayne .
",['Uganda']
698,"October 15 : Beginning of the Salvadoran Civil War .
October 26 : Assassination of Park Chung Hee , President of South Korea.
November 4 : The Iran hostage crisis begins.
","['South Korea', 'Iran']"
699,"November – December : Insurgensts seize the Grand Mosque in Mecca .
",['Mecca']
701,"December 24 : The Soviet–Afghan War begins with the Soviet invasion of Afghanistan.
","['Soviet', 'Afghanistan']"
705,"1980s
1980
April 18 : Independence of Rhodesia , which becomes Zimbabwe .
",['Zimbabwe']
707,"May 18 : 1980 eruption of Mount St. Helens in Skamania County , state of Washington , leaves approximately 57 deaths and $1 billion of property damage.
","['Skamania County', 'Mount St. Helens', 'Washington']"
710,"July 1 : Adoption of "" O Canada "" as the national anthem of Canada .
",['Canada']
712,"August 31 : Solidarity union forms at Poland's Gdańsk Shipyard under Lech Wałęsa , and begins agitation for greater personal freedoms.
",['Poland']
713,"September 22 : Beginning of the Iran–Iraq War .
November 13 : Voyager 1 takes the first close-up pictures of Saturn .
",['Iran']
715,"Internal conflict in Peru begins.
",['Peru']
719,"1981
January 1 : Greece joins the European Communities .
",['Greece']
720,January 20 : Ronald Reagan is inaugurated as President of the United States.,['the United States']
721,"Iran releases the 52 U.S. hostages held in Tehran after 444 days.
","['Tehran', 'Iran', 'U.S.']"
722,"Ronald Reagan is inaugurated as President of the United States.
",['the United States']
723,"Iran releases the 52 U.S. hostages held in Tehran after 444 days.
","['Tehran', 'Iran', 'U.S.']"
724,"March 30 : Assassination attempt on U.S. president Ronald Reagan.
",['U.S.']
